Agent,Market,Difference,Strategy Wins (%)
0.37105561073710597,0.5374647887323974,-0.16640917799529148,
0.5945902092160198,1.008765522279023,-0.41417531306300326,
1.0175422459020693,0.7266808717132655,0.29086137418880387,
0.917701337302828,1.4281897912281338,-0.5104884539253058,
0.7583719577089331,0.43575757575758195,0.3226143819513511,
0.5189337071287119,1.9562043795620376,-1.4372706724333257,
0.7339701047274387,0.9367436080183511,-0.20277350329091237,
0.5751638352053157,0.5478723404255318,0.027291494779783876,
0.8557611922762943,1.283891738095975,-0.4281305458196806,
0.7594855851098185,1.537132265700163,-0.7776466805903445,
0.5548858720728235,0.4641328451343449,0.09075302693847859,
0.7030079242016135,2.325094260578143,-1.6220863363765297,
0.6225582047783926,1.3057019645424122,-0.6831437597640195,
0.8573392739015753,1.7502153316106288,-0.8928760577090535,
0.751894615472158,2.44503311258276,-1.693138497110602,
0.931088823357764,1.3093333333333759,-0.3782445099756119,
0.5453394449456038,1.2658904734973586,-0.7205510285517548,
1.143320170089656,1.0459035013700189,0.09741666871963717,
1.8720591009216265,0.678571428571418,1.1934876723502086,
0.3893047033319023,0.5231229119043462,-0.13381820857244392,
0.7135582051556483,0.914798762970439,-0.20124055781479078,
0.9433686999709853,0.5837063774431015,0.35966232252788377,
0.3443781084713094,0.5842696629213545,-0.23989155445004512,
0.32384774308801667,1.0431034482758774,-0.7192557051878607,
0.6103908908075968,1.0543384556875806,-0.44394756487998377,
0.6015108866385619,0.6059272586420822,-0.004416372003520297,
1.0661877570622516,2.0045373521308507,-0.9383495950685992,
1.2561894761825532,1.7092270335896396,-0.4530375574070864,
0.5325073146745231,1.2390294269488908,-0.7065221122743678,
1.3141917963029928,0.43391521197006977,0.880276584332923,
0.780978614192504,1.9306981519507382,-1.149719537758234,
1.4154015058448544,1.8499513881387264,-0.43454988229387204,
0.4783316837430638,0.7754662840746056,-0.2971346003315418,
0.8125492133436341,1.2147396889789965,-0.4021904756353625,
0.833515541008858,1.3799999999999821,-0.5464844589911241,
0.665337256564175,1.532764593054865,-0.86742733649069,
0.9011894823456242,1.5314641185174236,-0.6302746361717994,
0.6426936333276878,0.7933125433125569,-0.15061890998486904,
0.953795624964146,1.2674418604651287,-0.3136462355009827,
0.6888136186975258,2.263783783783738,-1.5749701650862122,
0.8047819152712429,0.9171518010941353,-0.11236988582289242,
0.7430776937675064,1.2016129032258132,-0.4585352094583067,
0.7036890031425493,0.9128660916669112,-0.2091770885243619,
1.159868347679333,1.475315315315274,-0.31544696763594104,
0.6602341847031481,1.5691581822696683,-0.9089239975665202,
0.8280742445161106,0.9838216003498106,-0.15574735583370003,
0.8259617165697067,1.2387761445546808,-0.41281442798497403,
0.8925414858101923,1.2309677419354668,-0.33842625612527444,
1.0687042585511468,0.4005466778805597,0.6681575806705871,
1.0657188883685405,0.7479338842975134,0.31778500407102706,
0.6187223739207576,0.6634615384615375,-0.044739164540779974,
0.42622310115823375,1.5257142857142458,-1.099491184556012,
0.4803699039830041,1.9324324324323652,-1.4520625284493611,
0.5588016490513138,0.6274509803921504,-0.06864933134083662,
0.809105060862956,2.1369374313940095,-1.3278323705310535,
1.0898891130890922,0.7557251908396949,0.3341639222493973,
0.4776623809242265,3.263157894736761,-2.785495513812535,
0.4628271261919837,1.5496511003757258,-1.0868239741837422,
0.4729108194782346,1.2586473928755761,-0.7857365733973416,
0.38280329378251166,1.390650718753453,-1.0078474249709413,
0.6820729560116355,0.5170953546721468,0.1649776013394887,
1.417740296985736,1.6673328166257468,-0.24959251964001083,
0.6350376509884478,1.7537826685006426,-1.118745017512195,
0.6190999415323548,1.5195912467156716,-0.9004913051833168,
0.7567222182111388,1.0491568864689436,-0.29243466825780473,
0.33720834145322437,1.5719540229884617,-1.2347456815352373,
0.8797544693936857,2.007516339869291,-1.127761870475605,
0.7947840095208673,1.1960482218586679,-0.40126421233780063,
0.7113457425521795,1.1223252120127745,-0.41097946946059494,
0.6227398324509534,1.5974882102632593,-0.9747483778123058,
0.7319984177542509,0.7952864848538502,-0.06328806709959933,
1.3659793940063096,1.0840486568060184,0.28193073720029127,
1.2505555018105228,0.9652317288696893,0.28532377294083344,
1.047112344906961,1.4013207040635074,-0.35420835915654636,
0.587121511849898,1.067562288504796,-0.4804407766548979,
0.686705734990847,1.2296877752603315,-0.5429820402694845,
0.9099699456147111,1.5023146756448051,-0.592344730030094,
0.7141405013613984,1.6281575467414073,-0.9140170453800089,
1.560425205008878,1.0632827617351217,0.49714244327375634,
0.7841393682318396,0.819566616709589,-0.03542724847774936,
0.7632078012150653,0.8057755641380788,-0.04256776292301356,
0.9787380346242931,0.6768412738325842,0.3018967607917089,
0.9476352845064213,0.8450545317788866,0.10258075272753475,
1.0332019023903602,0.7208003722661797,0.3124015301241806,
0.6849036622599006,1.3269403435653124,-0.6420366813054118,
0.4857406653281008,1.0724112961622145,-0.5866706308341137,
0.7214368312380087,0.699523809523812,0.021913021714196734,
1.8675903897055044,2.44503311258276,-0.5774427228772556,
0.9481424935830572,0.7553541754568708,0.19278831812618646,
0.9730662167592983,0.6495483252121655,0.32351789154713273,
1.694371851317894,2.5061605061604904,-0.8117886548425963,
0.7458041614525545,1.015400808717319,-0.2695966472647645,
0.7273428094871792,0.9429896093050367,-0.2156467998178575,
0.5977513798247713,1.5195912467156716,-0.9218398668909003,
0.7557573004515181,0.934705988654904,-0.17894868820338583,
0.47233538426514904,0.8438709677419175,-0.37153558347676846,
0.4658584209776448,1.7735082209495874,-1.3076497999719425,
0.9788245929464877,1.4412244580840614,-0.4623998651375737,
